OTU,Size,Kingdom,Phylum,Class,Order,Family,Genus
Otu002602,12,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu002603,12,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002604,31,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002605,73,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002609,19,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002611,10,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,unclassified,unclassified
Otu002617,8,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002618,34,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002622,11,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis
Otu002626,18,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002628,20,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002629,20,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002631,15,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002634,13,Bacteria,Proteobacteria,Deltaproteobacteria,unclassified,unclassified,unclassified
Otu002635,70,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002637,9,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis
Otu002639,15,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002640,13,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002641,9,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002645,13,Bacteria,Acidobacteria,Acidobacteria_Gp10,Acidobacteria_Gp10_order_incertae_sedis,Acidobacteria_Gp10_family_incertae_sedis,Gp10
Otu002648,15,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002650,59,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu002651,16,Bacteria,Acidobacteria,Acidobacteria_Gp3,Acidobacteria_Gp3_order_incertae_sedis,Acidobacteria_Gp3_family_incertae_sedis,Gp3
Otu002652,10,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,unclassified
Otu002655,8,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis
Otu002657,15,Bacteria,Proteobacteria,Betaproteobacteria,unclassified,unclassified,unclassified
Otu002658,14,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified
Otu002660,35,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002663,12,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002664,9,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis
Otu002666,14,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis
Otu002667,10,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002669,14,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis
Otu002671,10,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002673,16,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis
Otu002675,22,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002676,10,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc
Otu002677,10,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002679,12,Bacteria,Chloroflexi,unclassified,unclassified,unclassified,unclassified
Otu002683,9,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002689,19,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002691,15,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002692,11,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,unclassified,unclassified
Otu002693,52,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002694,14,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002695,9,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002698,14,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
Otu002699,10,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002704,10,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002705,29,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002706,11,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002710,7,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002711,6,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
Otu002712,14,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002714,17,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu002715,12,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,unclassified,unclassified
Otu002719,52,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002721,15,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002722,11,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002726,20,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002727,11,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
